Model,Type,RMSE_mean,RMSE_std,MAE_mean,R2_mean,R2_std,Time_s
Hybrid Q-C (Ridge),Hybrid Q-C,0.3524,0.0108,0.2831,0.4832,0.0257,0.5339
ElasticNet,Classical,0.3539,0.0116,0.2836,0.4788,0.0259,0.0024
Lasso (α=0.01),Classical,0.3549,0.0109,0.2843,0.4759,0.024,0.0042
Ridge (α=1.0),Classical,0.36,0.0117,0.2898,0.4607,0.0271,0.01
Neural Network,Classical,0.3686,0.0102,0.2965,0.4344,0.0306,0.7049
Hybrid Q-C (GBT),Hybrid Q-C,0.3754,0.0142,0.3007,0.4145,0.0062,2.0136
Hybrid Q-C (RF),Hybrid Q-C,0.3783,0.0115,0.3043,0.4046,0.0256,0.7917
Random Forest,Classical,0.3792,0.0151,0.3055,0.402,0.0306,0.4611
Gradient Boosting,Classical,0.3834,0.0114,0.3086,0.3883,0.0295,0.8511
SVR (RBF kernel),Classical,0.3836,0.0182,0.31,0.3876,0.0437,0.1502
Extra Trees,Classical,0.385,0.0154,0.3081,0.3835,0.0337,0.1549
